mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	0
1	0	1/2	1/2	0.5	1/8	1/2	3/4	1	1	1/8	1/8	1		6	78	F#5	5	1
1	0	1	1	0.5	1/4	5/8	3/4	2	1	1/8	1/8	1		2	50	D3	3	4
1	0	1	1	0.5	1/4	5/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	4
1	0	1	1	0.5	1/4	5/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	3
1	0	1	1	0.5	1/4	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	2
2	1	3/2	3/2	2.0	0	0	3/4	2	1	1/2	1/2	1		4	52	E3	3	13
2	1	3/2	3/2	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	13
2	1	3/2	3/2	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	12
2	1	3/2	3/2	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	5
2	1	5/2	5/2	0.75	1/4	1/4	3/4	1	1	3/16	1/8	3/2		7	73	C#5	5	6
2	1	13/4	13/4	0.25	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	7
2	1	7/2	7/2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		7	49	C#3	3	14
2	1	7/2	7/2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	14
2	1	7/2	7/2	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	8
2	1	15/4	15/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	9
2	1	4	4	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	10
2	1	17/4	17/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	11
3	2	9/2	9/2	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	24
3	2	9/2	9/2	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
3	2	9/2	9/2	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	21
3	2	9/2	9/2	0.75	0	0	3/4	1	1	3/16	1/8	3/2		6	66	F#4	4	15
3	2	21/4	21/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	16
3	2	11/2	11/2	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		3	45	A2	2	25
3	2	11/2	11/2	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		3	57	A3	3	25
3	2	11/2	11/2	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		7	61	C#4	4	22
3	2	11/2	11/2	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	64	E4	4	17
3	2	6	6	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		5	47	B2	2	26
3	2	6	6	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	26
3	2	6	6	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	18
3	2	13/2	13/2	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		5	47	B2	2	27
3	2	13/2	13/2	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		6	54	F#3	3	27
3	2	13/2	13/2	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	D4	4	19
3	2	7	7	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		3	45	A2	2	28
3	2	7	7	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	28
3	2	7	7	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		0	60	C4	4	23
3	2	7	7	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		9	63	D#4	4	20
4	3	15/2	15/2	2.0	0	0	3/4	2	2	1/2	1/2	1	1	1	43	G2	2	44
4	3	15/2	15/2	0.75	0	0	3/4	2	1	3/16	1/8	3/2		1	55	G3	3	38
4	3	15/2	15/2	2.0	0	0	3/4	1	2	1/2	1/2	1	1	5	59	B3	3	35
4	3	15/2	15/2	0.75	0	0	3/4	1	1	3/16	1/8	3/2		4	64	E4	4	29
4	3	33/4	33/4	0.25	3/16	3/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	39
4	3	33/4	33/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		6	66	F#4	4	30
4	3	17/2	17/2	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		4	52	E3	3	40
4	3	17/2	17/2	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	67	G4	4	31
4	3	9	9	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	41
4	3	9	9	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	32
4	3	19/2	19/2	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1	-1	1	43	G2	2	45
4	3	19/2	19/2	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55	G3	3	42
4	3	19/2	19/2	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	5	59	B3	3	36
4	3	19/2	19/2	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	64	E4	4	33
4	3	10	10	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		8	44	G#2	2	46
4	3	10	10	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	43
4	3	10	10	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		5	59	B3	3	37
4	3	10	10	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	34
5	4	21/2	21/2	1.5	0	0	3/4	2	2	3/8	1/4	3/2		3	45	A2	2	58
5	4	21/2	21/2	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	55
5	4	21/2	21/2	1.5	0	0	3/4	1	2	3/8	1/4	3/2		3	57	A3	3	53
5	4	21/2	21/2	0.75	0	0	3/4	1	1	3/16	1/8	3/2		2	62	D4	4	47
5	4	45/4	45/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	48
