mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	2/4	2	2	1/2		1/2	1		1	55	G3	3	11
1	1	0	0.5	0	0	2/4	2	1	1/8		1/8	1		5	59	B3	3	7
1	1	0	0.5	0	0	2/4	1	1	1/8		1/8	1		1	67	G4	4	0
1	1	1/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60	C4	4	8
1	1	1/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	1
1	1	3/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	2
1	1	1	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		2	62	D4	4	9
1	1	1	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		0	72	C5	5	3
1	1	5/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		5	71	B4	4	4
1	1	3/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	10
1	1	3/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	5
1	1	7/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	6
2	2	2	2.0	0	0	2/4	2	2	1/2		1/2	1		1	55	G3	3	24
2	2	2	0.5	0	0	2/4	2	1	1/8		1/8	1		0	60	C4	4	20
2	2	2	0.25	0	0	2/4	1	1	1/16		1/16	1		5	71	B4	4	12
2	2	9/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	13
2	2	5/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	21
2	2	5/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		1	67	G4	4	14
2	2	11/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		6	66	F#4	4	15
2	2	3	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		5	59	B3	3	22
2	2	3	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		1	67	G4	4	16
2	2	13/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	17
2	2	7/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		2	62	D4	4	23
2	2	7/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	18
2	2	15/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	19
3	3	4	2.0	0	0	2/4	2	2	1/2		1/2	1		1	55	G3	3	37
3	3	4	0.5	0	0	2/4	2	1	1/8		1/8	1		5	59	B3	3	33
3	3	4	0.25	0	0	2/4	1	1	1/16		1/16	1		2	74	D5	5	25
3	3	17/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		9	75	D#5	5	26
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60	C4	4	34
3	3	9/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	27
3	3	19/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	28
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		4	64	E4	4	35
3	3	5	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		3	81	A5	5	29
