mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.G.I[I		G	I	I	I	I						M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	1	1	IV		G	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
6	6	0	0	4/4	1	1	I		G	I	I	I	I						M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	1	1	IV		G	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
8	8	0	0	4/4	1	1	I]		G	I	I	I	I						M	0	0	0, 4, 1		0	0
8	8	3/4	3/4	4/4	1	1	I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
9	9	0	0	4/4	1	1	ii		G	I		ii	ii						m	0	0	2, -1, 3		2	2
9	9	1/4	1/4	4/4	1	1	V65		G	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
9	9	1/2	1/2	4/4	1	1	I		G	I		I	I						M	0	0	0, 4, 1		0	0
9	9	3/4	3/4	4/4	1	1	I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
10	10	0	0	4/4	1	1	ii		G	I		ii	ii						m	0	0	2, -1, 3		2	2
10	10	1/4	1/4	4/4	1	1	V65		G	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
10	10	1/2	1/2	4/4	1	1	I		G	I		I	I						M	0	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	1	1	IV6		G	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
11	11	0	0	4/4	1	1	viio		G	I		viio	vii	o					o	0	0	5, 2, -1		5	5
11	11	1/4	1/4	4/4	1	1	V65/vi		G	I		V65/vi	V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
11	11	1/2	1/2	4/4	1	1	vi		G	I		vi	vi						m	0	0	3, 0, 4		3	3
11	11	3/4	3/4	4/4	1	1	V65/V		G	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
12	12	0	0	4/4	1	1	V		G	I		V	V						M	0	0	1, 5, 2		1	1
12	12	3/8	3/8	4/4	1	1	V6		G	I		V6	V		6				M	0	0	5, 2, 1		1	5
12	12	1/2	1/2	4/4	1	1	V[I		G	I	V	I	I						M	0	0	0, 4, 1		0	0
